                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
67,1.2112,0.56609,1.0462,0.86561,0.76157,0.79481,0.47141,1.5722,0.76359,1.3307,0.007822,0.007822,0.007822
68,1.2048,0.56567,1.0458,0.86674,0.76187,0.79517,0.47232,1.5712,0.76288,1.3296,0.007789,0.007789,0.007789
69,1.2107,0.56679,1.0471,0.86252,0.76187,0.79472,0.47308,1.5696,0.76159,1.329,0.007756,0.007756,0.007756
70,1.2139,0.56733,1.0445,0.86317,0.76266,0.79619,0.4733,1.5691,0.76108,1.3281,0.007723,0.007723,0.007723
71,1.2071,0.56126,1.0444,0.86094,0.76157,0.79455,0.47274,1.5682,0.75849,1.328,0.00769,0.00769,0.00769
72,1.2053,0.56547,1.04,0.86063,0.76335,0.79653,0.47323,1.5687,0.7592,1.328,0.007657,0.007657,0.007657
73,1.2007,0.56326,1.0424,0.86332,0.76286,0.79667,0.47335,1.5685,0.76024,1.3271,0.007624,0.007624,0.007624
74,1.2034,0.56214,1.0432,0.86195,0.76335,0.79694,0.47343,1.5675,0.75918,1.3271,0.007591,0.007591,0.007591
75,1.1937,0.55526,1.0384,0.86708,0.76236,0.79706,0.47352,1.5681,0.75809,1.3273,0.007558,0.007558,0.007558
76,1.197,0.56177,1.0381,0.86556,0.76286,0.79752,0.47404,1.5682,0.7582,1.3266,0.007525,0.007525,0.007525
